"word","sentence","changed_sentence","deleted_word"
"academy","It should also be noted that many of these issues have not greatly exercised the academic community in this country.","It should also be noted that many of these issues have not greatly exercised the _____ community in this country.","academic"
"academy","Many academics, being civil servants, have secure jobs guaranteed for life.","Many _____ being civil servants, have secure jobs guaranteed for life.","academics"
"academy","The college offers both academic and professional qualifications.","The college offers both _____ and professional qualifications.","academic"
"academy","Although this child is bright, he is not academically inclined.","Although this child is bright, he is not _____ inclined.","academically"
"adjust","It took a few seconds for her eyes to adjust to the darkness.","It took a few seconds for her eyes to _____ to the darkness.","adjust"
"adjust","When economic circumstances change, businesses need time to adjust.","When economic circumstances change, businesses need time to _____","adjust"
"adjust","We'll see how this schedule works; then we'll make adjustments as necessary.","We'll see how this schedule works; then we'll make _____ as necessary.","adjustments"
"adjust","Former soldiers often struggle to readjust to life outside the army.","Former soldiers often struggle to _____ to life outside the army.","readjust"
"alter","The city center has altered beyond recognition.","The city center has _____ beyond recognition.","altered"
"alter","Nothing can alter the fact that the refugees are our responsibility.","Nothing can _____ the fact that the refugees are our responsibility.","alter"
"alter","Much of the original building has survived unaltered.","Much of the original building has survived _____","unaltered"
"alter","The editor made a few minor alterations to the text.","The editor made a few minor _____ to the text.","alterations"
"amend","One of the claimed advantages of expert systems are that their knowledge basis can be amended quickly and easily.","One of the claimed advantages of expert systems are that their knowledge basis can be _____ quickly and easily.","amended"
"amend","Lists of amendments or new editions are possible mechanisms for announcing changes.","Lists of _____ or new editions are possible mechanisms for announcing changes.","amendments"
"amend","I have made several amendments to the script.","I have made several _____ to the script.","amendments"
"amend","Until the constitution is amended, the power to appoint ministers will remain with the president.","Until the constitution is _____ the power to appoint ministers will remain with the president.","amended"
"aware","We are not always aware of how we affect others or how they experience our actions.","We are not always _____ of how we affect others or how they experience our actions.","aware"
"aware","Increased environmental awareness has led to a greater demand for recycled paper.","Increased environmental _____ has led to a greater demand for recycled paper.","awareness"
"aware","The campaign aims to raise awareness of the dangers of passive smoking.","The campaign aims to raise _____ of the dangers of passive smoking.","awareness"
"aware","She was totally unaware that she was being watched.","She was totally _____ that she was being watched.","unaware"
"capacity","The fuel tank has a capacity of 200 liters.","The fuel tank has a _____ of 200 liters.","capacity"
"capacity","The factory is now operating at full capacity.","The factory is now operating at full _____","capacity"
"capacity","Her poor health limits her earning capacity.","Her poor health limits her earning _____","capacity"
"capacity","Using powerful lasers, the device can incapacitate enemy radar systems.","Using powerful lasers, the device can _____ enemy radar systems.","incapacitate"
"challenge","I was bored with my job and felt I needed a new challenge.","I was bored with my job and felt I needed a new _____","challenge"
"challenge","The government faces a daunting challenge of completing the building on time.","The government faces a daunting _____ of completing the building on time.","challenge"
"challenge","Recent discoveries pose a serious challenge to accepted views on the age of the universe.","Recent discoveries pose a serious _____ to accepted views on the age of the universe.","challenge"
"challenge","Teaching young children is a challenging and rewarding job.","Teaching young children is a _____ and rewarding job.","challenging"
"clause","There is a clause in the contrast requiring a fee to be paid if the holiday is canceled.","There is a _____ in the contrast requiring a fee to be paid if the holiday is canceled.","clause"
"clause","Clause 4 of the constitution is thought to be the most important section.","_____ 4 of the constitution is thought to be the most important section.","Clause"
"clause","They have added a clause in the contract which says the company can make people redundant for economic reasons.","They have added a _____ in the contract which says the company can make people redundant for economic reasons.","clause"
